"ASV"	"s.COLUMBIA"	"s.TANZANIA"	"index"	"stat"	"p.value"	"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"1"	"825fb839e46d2c42552170eb2f0367b4"	0	1	2	0.880285999844327	0.005	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Prevotellaceae"	"g__Prevotellaceae_UCG-003"	"s__uncultured_bacterium"
"2"	"0689d8b4045a077e3971bcc0e9e363d7"	0	1	2	0.669850019848768	0.005	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Prevotellaceae"	"g__Prevotellaceae_UCG-004"	"s__uncultured_bacterium"
"3"	"e1d7e311eac2fdca03186c6170586587"	1	0	1	0.59804063809459	0.005	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__uncultured"	"g__uncultured"	"s__uncultured_bacterium"
"4"	"1d5ab14c6d946dcf2f902ef10316043b"	0	1	2	0.915684408274966	0.005	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Prevotellaceae"	"g__Alloprevotella"	"s__Prevotellaceae_bacterium"
"5"	"44a438cc941603d68c938d35e35a6c06"	0	1	2	0.832837611566373	0.005	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Prevotellaceae"	"g__Prevotellaceae_UCG-001"	"s__uncultured_bacterium"
"6"	"19e3a286e0ee59949c66bdf56a1b0dbb"	1	0	1	0.191189761243058	0.02	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Muribaculaceae"	"g__Muribaculum"	NA
"7"	"5bb923c9a65849c182eaa275f8589524"	1	0	1	0.29794772352378	0.005	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Barnesiellaceae"	"g__Coprobacter"	NA
"8"	"5c16a11824d7f67359b034f369ad10cb"	1	0	1	0.765795945915033	0.005	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Barnesiellaceae"	"g__Barnesiella"	NA
"9"	"a961647c5ae88bc0c0c608e4938dbf34"	1	0	1	0.135191576668403	0.045	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Barnesiellaceae"	"g__uncultured"	NA
"10"	"60eb7275719ed1d2fc264078e3da427c"	1	0	1	0.342773208674273	0.005	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Tannerellaceae"	NA	NA
"11"	"f73cf74e9883fc83097da4d59308c6a8"	1	0	1	0.54334085779239	0.005	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Porphyromonadaceae"	"g__Porphyromonas"	"s__Porphyromonas_asaccharolytica"
"12"	"ef006021d5cb6f0a8b5cc2c931cdc375"	0	1	2	0.705632250082767	0.005	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidales_RF16_group"	"g__Bacteroidales_RF16_group"	"s__uncultured_bacterium"
"13"	"f80441817bb67d167d09c8dc2b651ca5"	1	0	1	0.260547725941856	0.005	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Flavobacteriales"	"f__Flavobacteriaceae"	"g__uncultured"	"s__gut_metagenome"
"14"	"7b644b88f0cb24df2e381d2b51f4d982"	1	0	1	0.764668311035723	0.005	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Marinifilaceae"	"g__Odoribacter"	NA
